job_title,salary_usd,experience_level,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name,experience_level_enc,company_size_enc,education_required_enc,employment_type_FL,employment_type_FT,employment_type_PT,company_location_freq,employee_residence_freq
Head of AI,212757,EX,France,S,France,50,"Spark, Tableau, Scala, Linux",Master,10,Manufacturing,7.6,Machine Intelligence Group,3,0,2,1,0,0,0.050255102040816325,0.04319727891156463
NLP Engineer,61294,EN,France,M,France,0,"SQL, Hadoop, Scala, Data Visualization",Bachelor,0,Energy,7.2,Cloud AI Solutions,0,1,1,0,0,0,0.050255102040816325,0.04319727891156463
Machine Learning Engineer,247728,SE,Switzerland,L,Indonesia,0,"Hadoop, Kubernetes, NLP",Associate,9,Telecommunications,5.7,TechCorp Inc,2,2,0,1,0,0,0.04957482993197279,0.006462585034013605
AI Research Scientist,79915,MI,Israel,S,Israel,0,"PyTorch, Hadoop, TensorFlow",Master,2,Consulting,9.7,Advanced Robotics,1,0,2,0,0,0,0.05187074829931973,0.04098639455782313
AI Architect,244995,EX,Norway,M,Norway,0,"TensorFlow, Docker, R",PhD,14,Education,9.3,TechCorp Inc,3,1,3,0,0,0,0.04846938775510204,0.03903061224489796
Research Scientist,78313,MI,Finland,M,Finland,50,"SQL, Data Visualization, Java",Associate,4,Education,6.6,Neural Networks Co,1,1,0,1,0,0,0.04855442176870748,0.03792517006802721
Research Scientist,158626,SE,Norway,S,Norway,0,"Python, Scala, Java, TensorFlow",PhD,9,Government,5.6,Smart Analytics,2,0,3,0,1,0,0.04846938775510204,0.03903061224489796
Deep Learning Engineer,59253,EN,Finland,S,New Zealand,100,"Kubernetes, Computer Vision, TensorFlow",Bachelor,1,Finance,6.6,DataVision Ltd,0,0,1,0,0,0,0.04855442176870748,0.007227891156462585
AI Product Manager,147619,EX,United States,S,United States,0,"Java, SQL, Hadoop, Git, GCP",Associate,17,Education,5.6,Quantum Computing Inc,3,0,0,1,0,0,0.05314625850340136,0.042261904761904764
Data Scientist,84206,MI,Canada,S,Canada,0,"Hadoop, Java, SQL, Computer Vision, Azure",Bachelor,3,Real Estate,6.3,AI Innovations,1,0,1,0,0,1,0.053316326530612246,0.04336734693877551
Data Scientist,79820,EN,Japan,L,Japan,100,"Azure, Git, R, Java, Scala",Master,1,Technology,6.9,DataVision Ltd,0,2,2,0,0,1,0.050085034013605444,0.03988095238095238
Deep Learning Engineer,147358,EX,Ireland,S,Argentina,0,"AWS, Python, Kubernetes, TensorFlow, Docker",Master,19,Transportation,6.2,DeepTech Ventures,3,0,2,0,0,0,0.05127551020408163,0.0068877551020408165
ML Ops Engineer,98849,MI,United States,L,Poland,100,"PyTorch, SQL, Data Visualization, Computer Vision",Associate,4,Consulting,5.1,DataVision Ltd,1,2,0,0,0,1,0.05314625850340136,0.005442176870748299
AI Software Engineer,163945,EX,Singapore,M,Germany,100,"GCP, Data Visualization, AWS",Associate,13,Technology,8.1,Predictive Systems,3,1,0,0,1,0,0.05204081632653061,0.04149659863945578
AI Specialist,130820,SE,Austria,M,Sweden,0,"Computer Vision, SQL, Statistics, Git",Associate,7,Healthcare,9.1,Digital Transformation LLC,2,1,0,1,0,0,0.04625850340136054,0.03988095238095238
Robotics Engineer,154533,EX,South Korea,M,South Korea,100,"Hadoop, AWS, Computer Vision, Azure",Bachelor,18,Gaming,5.0,AI Innovations,3,1,1,1,0,0,0.053061224489795916,0.04013605442176871
Research Scientist,27068,MI,India,M,India,100,"Spark, Statistics, PyTorch",Bachelor,4,Retail,9.7,Neural Networks Co,1,1,1,0,0,1,0.03945578231292517,0.03784013605442177
AI Architect,154205,EX,Ireland,S,Ireland,50,"Azure, AWS, GCP, Spark",Bachelor,19,Media,7.8,Algorithmic Solutions,3,0,1,0,0,0,0.05127551020408163,0.04311224489795919
AI Product Manager,110485,MI,United States,L,Norway,50,"Python, TensorFlow, Spark, PyTorch, NLP",Master,2,Transportation,8.6,Neural Networks Co,1,2,2,0,1,0,0.05314625850340136,0.03903061224489796
Machine Learning Engineer,165796,EX,Ireland,L,Ireland,100,"Kubernetes, Docker, R, Tableau",Master,15,Government,6.8,Quantum Computing Inc,3,2,2,1,0,0,0.05127551020408163,0.04311224489795919
AI Research Scientist,113616,SE,Netherlands,S,Netherlands,50,"Scala, Hadoop, Computer Vision, Deep Learning",Master,7,Retail,6.0,Smart Analytics,2,0,2,0,1,0,0.050425170068027214,0.04047619047619048
Principal Data Scientist,222260,EX,Switzerland,S,Switzerland,0,"SQL, PyTorch, Linux",Bachelor,11,Transportation,8.8,Machine Intelligence Group,3,0,1,1,0,0,0.04957482993197279,0.04175170068027211
AI Architect,30114,EN,China,L,Finland,100,"Statistics, PyTorch, Java, Azure, TensorFlow",Master,1,Telecommunications,8.0,Smart Analytics,0,2,2,1,0,0,0.050085034013605444,0.03792517006802721
Robotics Engineer,93037,MI,France,M,France,0,"Git, Azure, Computer Vision, Python",PhD,2,Finance,5.9,Cognitive Computing,1,1,3,0,0,0,0.050255102040816325,0.04319727891156463
AI Software Engineer,203713,EX,Australia,M,Australia,50,"Mathematics, Kubernetes, MLOps",PhD,14,Transportation,7.1,Autonomous Tech,3,1,3,1,0,0,0.047448979591836735,0.039965986394557826
AI Architect,92448,MI,United States,M,United States,0,"GCP, R, PyTorch, SQL",Bachelor,4,Gaming,6.8,Machine Intelligence Group,1,1,1,0,0,0,0.05314625850340136,0.042261904761904764
Computer Vision Engineer,279290,EX,Denmark,S,Hungary,50,"Git, R, Scala, Docker, MLOps",Master,16,Government,7.6,DataVision Ltd,3,0,2,0,0,1,0.049829931972789114,0.005272108843537415
Machine Learning Engineer,108913,SE,South Korea,M,Portugal,100,"GCP, Scala, Statistics, Python",Bachelor,5,Real Estate,6.2,Autonomous Tech,2,1,1,0,0,0,0.053061224489795916,0.005782312925170068
Machine Learning Engineer,81923,EN,Ireland,L,Ireland,0,"Python, TensorFlow, Git, Docker",Master,0,Real Estate,7.5,Future Systems,0,2,2,0,0,0,0.05127551020408163,0.04311224489795919
Robotics Engineer,241392,EX,Austria,L,Austria,50,"Git, GCP, Linux",Associate,18,Gaming,7.9,Advanced Robotics,3,2,0,0,0,1,0.04625850340136054,0.03860544217687075
NLP Engineer,51742,EN,Japan,S,Japan,100,"Kubernetes, Python, Data Visualization, Git",PhD,1,Education,8.3,Autonomous Tech,0,0,3,1,0,0,0.050085034013605444,0.03988095238095238
Autonomous Systems Engineer,67394,EN,Austria,L,Portugal,50,"GCP, PyTorch, SQL",PhD,1,Consulting,5.6,DeepTech Ventures,0,2,3,1,0,0,0.04625850340136054,0.005782312925170068
AI Architect,116773,MI,Ireland,L,Argentina,100,"Java, Hadoop, MLOps",PhD,3,Finance,6.2,Smart Analytics,1,2,3,0,0,0,0.05127551020408163,0.0068877551020408165
AI Research Scientist,138335,EX,Germany,M,Germany,100,"Kubernetes, Spark, Statistics",Associate,19,Transportation,6.3,Quantum Computing Inc,3,1,0,0,0,1,0.05136054421768708,0.04149659863945578
AI Specialist,30008,EN,India,L,India,100,"Linux, PyTorch, Git, Computer Vision",Master,1,Real Estate,6.5,Machine Intelligence Group,0,2,2,0,0,0,0.03945578231292517,0.03784013605442177
Data Scientist,51880,EN,Canada,S,Canada,0,"R, PyTorch, Hadoop",PhD,1,Government,8.9,Quantum Computing Inc,0,0,3,0,1,0,0.053316326530612246,0.04336734693877551
AI Software Engineer,158342,EX,South Korea,L,South Korea,0,"GCP, TensorFlow, NLP, Statistics, Computer Vision",Master,12,Consulting,6.4,Cognitive Computing,3,2,2,0,1,0,0.053061224489795916,0.04013605442176871
Autonomous Systems Engineer,186114,EX,Austria,L,Austria,100,"NLP, SQL, Data Visualization, Azure",Associate,19,Consulting,9.2,Cognitive Computing,3,2,0,1,0,0,0.04625850340136054,0.03860544217687075
Computer Vision Engineer,147836,SE,Australia,L,Australia,50,"Git, Kubernetes, SQL, GCP, Azure",Bachelor,8,Manufacturing,5.6,DataVision Ltd,2,2,1,0,0,0,0.047448979591836735,0.039965986394557826
AI Architect,133886,SE,Denmark,M,Mexico,100,"Python, NLP, Scala, Computer Vision",Associate,7,Real Estate,8.3,Cognitive Computing,2,1,0,0,0,0,0.049829931972789114,0.0068877551020408165
Machine Learning Researcher,75898,EN,Canada,M,Portugal,0,"Git, PyTorch, SQL, Python",PhD,0,Education,8.2,AI Innovations,0,1,3,0,1,0,0.053316326530612246,0.005782312925170068
Machine Learning Researcher,80606,EN,Sweden,M,Sweden,50,"Scala, Git, Data Visualization, Mathematics, SQL",PhD,1,Energy,6.8,Digital Transformation LLC,0,1,3,1,0,0,0.05085034013605442,0.03988095238095238
Autonomous Systems Engineer,93083,EN,Singapore,L,Egypt,50,"Azure, AWS, Deep Learning, Git",Master,1,Technology,6.5,Machine Intelligence Group,0,2,2,0,1,0,0.05204081632653061,0.005272108843537415
AI Research Scientist,136808,EX,Netherlands,S,Netherlands,0,"Git, TensorFlow, Scala, GCP, Python",PhD,17,Manufacturing,8.2,Advanced Robotics,3,0,3,0,0,0,0.050425170068027214,0.04047619047619048
NLP Engineer,72505,MI,Israel,S,Israel,0,"SQL, Linux, Scala",Bachelor,2,Gaming,6.3,Digital Transformation LLC,1,0,1,0,0,0,0.05187074829931973,0.04098639455782313
Machine Learning Researcher,98266,EN,Japan,L,Russia,0,"Linux, Statistics, Mathematics, Hadoop, PyTorch",PhD,0,Real Estate,5.5,Advanced Robotics,0,2,3,0,1,0,0.050085034013605444,0.006802721088435374
AI Research Scientist,61645,EN,Australia,L,Singapore,50,"Kubernetes, Python, Scala, Computer Vision, TensorFlow",Bachelor,1,Gaming,5.6,Algorithmic Solutions,0,2,1,0,0,0,0.047448979591836735,0.04175170068027211
AI Product Manager,171970,SE,United States,M,United States,100,"NLP, Linux, MLOps, TensorFlow, Python",PhD,5,Finance,9.9,Autonomous Tech,2,1,3,1,0,0,0.05314625850340136,0.042261904761904764
AI Architect,188072,EX,Switzerland,S,Switzerland,100,"SQL, Kubernetes, Azure",Associate,11,Automotive,5.9,Predictive Systems,3,0,0,0,0,0,0.04957482993197279,0.04175170068027211
Research Scientist,207846,EX,South Korea,L,South Korea,50,"Linux, MLOps, SQL, Scala",Bachelor,15,Gaming,6.7,Autonomous Tech,3,2,1,0,0,1,0.053061224489795916,0.04013605442176871
Research Scientist,187520,EX,Singapore,M,Ghana,100,"Azure, Docker, SQL, Python",PhD,17,Finance,6.4,AI Innovations,3,1,3,0,0,1,0.05204081632653061,0.005272108843537415
Deep Learning Engineer,48009,EN,France,S,France,100,"Linux, Java, R, Tableau",Associate,1,Automotive,8.1,Quantum Computing Inc,0,0,0,0,0,0,0.050255102040816325,0.04319727891156463
Autonomous Systems Engineer,34992,MI,India,S,Belgium,100,"PyTorch, Java, NLP",Associate,3,Retail,9.9,DataVision Ltd,1,0,0,1,0,0,0.03945578231292517,0.006377551020408163
NLP Engineer,104286,MI,Singapore,L,Singapore,100,"MLOps, Docker, Java, Spark",PhD,4,Finance,8.2,Cognitive Computing,1,2,3,0,0,1,0.05204081632653061,0.04175170068027211
Machine Learning Engineer,151696,EX,United States,S,United States,0,"Python, Computer Vision, Git",Master,19,Education,5.5,AI Innovations,3,0,2,0,1,0,0.05314625850340136,0.042261904761904764
Autonomous Systems Engineer,144897,SE,Netherlands,L,Netherlands,100,"Spark, Computer Vision, Hadoop",Associate,7,Manufacturing,5.7,DataVision Ltd,2,2,0,0,0,1,0.050425170068027214,0.04047619047619048
Head of AI,252143,EX,Netherlands,M,Netherlands,100,"Docker, Data Visualization, Hadoop, Statistics",Bachelor,13,Automotive,5.5,Digital Transformation LLC,3,1,1,0,0,0,0.050425170068027214,0.04047619047619048
Computer Vision Engineer,223100,EX,Netherlands,S,Thailand,100,"AWS, Data Visualization, Tableau, Hadoop, Statistics",Associate,12,Finance,6.7,Predictive Systems,3,0,0,0,0,1,0.050425170068027214,0.005952380952380952
AI Software Engineer,119208,SE,Israel,S,Israel,0,"Python, TensorFlow, Git",PhD,5,Gaming,6.6,Digital Transformation LLC,2,0,3,0,1,0,0.05187074829931973,0.04098639455782313
Data Engineer,72525,EN,Norway,M,Austria,50,"Scala, Statistics, Git, SQL, Linux",PhD,1,Media,5.4,Autonomous Tech,0,1,3,0,0,1,0.04846938775510204,0.03860544217687075
AI Research Scientist,49891,EN,Netherlands,S,Netherlands,0,"NLP, R, Computer Vision, Azure",Associate,0,Media,9.3,DataVision Ltd,0,0,0,0,1,0,0.050425170068027214,0.04047619047619048
AI Consultant,98422,MI,United States,L,United States,50,"SQL, GCP, Statistics, Hadoop, Linux",PhD,3,Real Estate,5.9,Algorithmic Solutions,1,2,3,1,0,0,0.05314625850340136,0.042261904761904764
Computer Vision Engineer,91041,SE,South Korea,S,Ukraine,100,"Computer Vision, Kubernetes, Git, Scala, Azure",Bachelor,8,Consulting,6.3,Quantum Computing Inc,2,0,1,1,0,0,0.053061224489795916,0.006802721088435374
AI Research Scientist,119850,SE,South Korea,M,South Korea,0,"MLOps, Linux, Scala",Associate,5,Education,9.8,DataVision Ltd,2,1,0,0,1,0,0.053061224489795916,0.04013605442176871
Principal Data Scientist,174084,EX,Japan,M,Japan,100,"Git, NLP, Tableau, Hadoop",Master,10,Transportation,5.5,Predictive Systems,3,1,2,0,0,0,0.050085034013605444,0.03988095238095238
Autonomous Systems Engineer,125416,SE,Singapore,S,South Korea,0,"SQL, Python, Azure, Deep Learning",PhD,9,Energy,5.6,Algorithmic Solutions,2,0,3,1,0,0,0.05204081632653061,0.04013605442176871
ML Ops Engineer,190557,EX,Israel,S,Israel,100,"Scala, Statistics, PyTorch, Docker",Master,12,Retail,6.9,Machine Intelligence Group,3,0,2,0,0,0,0.05187074829931973,0.04098639455782313
Robotics Engineer,205581,EX,Israel,M,Israel,50,"Spark, SQL, Python, Statistics",PhD,13,Transportation,5.2,Cloud AI Solutions,3,1,3,1,0,0,0.05187074829931973,0.04098639455782313
Data Analyst,75000,EN,Netherlands,S,Mexico,100,"R, Hadoop, Deep Learning, Java",Master,0,Finance,7.8,AI Innovations,0,0,2,1,0,0,0.050425170068027214,0.0068877551020408165
Autonomous Systems Engineer,92702,MI,Denmark,S,Denmark,100,"Linux, MLOps, Deep Learning, Hadoop",Bachelor,4,Energy,6.0,Digital Transformation LLC,1,0,1,0,0,0,0.049829931972789114,0.03843537414965986
Autonomous Systems Engineer,72359,SE,China,L,China,0,"PyTorch, Computer Vision, Java, AWS",PhD,7,Government,6.8,Cognitive Computing,2,2,3,0,0,1,0.050085034013605444,0.04353741496598639
Autonomous Systems Engineer,168150,EX,Ireland,S,Ireland,100,"SQL, Docker, NLP, Mathematics, Computer Vision",Bachelor,10,Telecommunications,7.6,DataVision Ltd,3,0,1,1,0,0,0.05127551020408163,0.04311224489795919
Data Engineer,179315,SE,Denmark,L,Denmark,0,"Python, TensorFlow, Linux, PyTorch",PhD,8,Education,5.3,Digital Transformation LLC,2,2,3,1,0,0,0.049829931972789114,0.03843537414965986
Robotics Engineer,163866,MI,Switzerland,L,Switzerland,100,"Kubernetes, Scala, Deep Learning, AWS, Linux",PhD,3,Media,5.9,DataVision Ltd,1,2,3,0,1,0,0.04957482993197279,0.04175170068027211
Autonomous Systems Engineer,60812,MI,South Korea,M,South Korea,0,"R, Git, Deep Learning, GCP",Master,4,Finance,7.4,Predictive Systems,1,1,2,0,0,1,0.053061224489795916,0.04013605442176871
Machine Learning Engineer,77845,EX,India,S,India,0,"GCP, Java, Data Visualization",PhD,12,Transportation,8.2,AI Innovations,3,0,3,0,0,0,0.03945578231292517,0.03784013605442177
ML Ops Engineer,113088,SE,South Korea,S,Russia,0,"PyTorch, Kubernetes, Scala, Java, AWS",PhD,6,Automotive,8.2,Autonomous Tech,2,0,3,0,0,1,0.053061224489795916,0.006802721088435374
Data Engineer,268816,EX,United Kingdom,M,United Kingdom,50,"Tableau, SQL, R, Docker, Kubernetes",Master,11,Telecommunications,7.4,Cloud AI Solutions,3,1,2,0,0,0,0.052636054421768705,0.042006802721088435
Research Scientist,99042,MI,France,M,France,100,"Docker, Hadoop, Computer Vision",Bachelor,4,Government,6.0,Predictive Systems,1,1,1,0,0,1,0.050255102040816325,0.04319727891156463
NLP Engineer,82914,MI,Germany,S,Latvia,100,"Tableau, PyTorch, Kubernetes, GCP, AWS",Bachelor,3,Government,5.9,Advanced Robotics,1,0,1,0,0,0,0.05136054421768708,0.004166666666666667
Research Scientist,141826,MI,Norway,L,Norway,0,"Python, Kubernetes, SQL, Linux, Hadoop",Associate,3,Real Estate,5.3,DeepTech Ventures,1,2,0,0,0,0,0.04846938775510204,0.03903061224489796
Machine Learning Engineer,63882,EN,Japan,L,Japan,0,"Git, AWS, Python, Tableau, Linux",Associate,1,Technology,6.2,DeepTech Ventures,0,2,0,0,1,0,0.050085034013605444,0.03988095238095238
Deep Learning Engineer,86119,MI,Austria,L,Italy,0,"Azure, Python, Computer Vision, NLP, Tableau",PhD,2,Healthcare,9.6,Smart Analytics,1,2,3,0,0,0,0.04625850340136054,0.005612244897959183
Robotics Engineer,122808,MI,Sweden,L,Sweden,0,"PyTorch, SQL, MLOps, Mathematics, GCP",PhD,4,Consulting,9.0,Predictive Systems,1,2,3,0,0,1,0.05085034013605442,0.03988095238095238
Principal Data Scientist,96483,MI,Norway,M,Norway,0,"Python, Kubernetes, Azure, Statistics, Linux",PhD,2,Media,8.1,TechCorp Inc,1,1,3,0,0,1,0.04846938775510204,0.03903061224489796
Computer Vision Engineer,146267,EX,Canada,M,Canada,0,"Scala, R, Docker",PhD,10,Gaming,7.0,DeepTech Ventures,3,1,3,0,0,1,0.053316326530612246,0.04336734693877551
Principal Data Scientist,151221,SE,United States,M,United States,0,"PyTorch, Scala, Hadoop, GCP",Master,6,Technology,8.6,Machine Intelligence Group,2,1,2,1,0,0,0.05314625850340136,0.042261904761904764
Head of AI,32020,EN,China,L,China,100,"SQL, Hadoop, PyTorch, Linux",Associate,1,Media,8.5,Algorithmic Solutions,0,2,0,1,0,0,0.050085034013605444,0.04353741496598639
AI Architect,141618,MI,Denmark,L,Italy,0,"Data Visualization, Scala, Docker, Python, TensorFlow",Master,2,Government,5.2,Digital Transformation LLC,1,2,2,0,1,0,0.049829931972789114,0.005612244897959183
Robotics Engineer,174201,SE,Norway,M,Norway,50,"Java, Docker, Tableau, Statistics, MLOps",Bachelor,9,Real Estate,7.3,DataVision Ltd,2,1,1,0,0,1,0.04846938775510204,0.03903061224489796
Machine Learning Engineer,58926,MI,South Korea,S,Finland,0,"Statistics, PyTorch, Java, Scala, Azure",Bachelor,3,Education,9.8,Smart Analytics,1,0,1,0,1,0,0.053061224489795916,0.03792517006802721
Research Scientist,32232,MI,India,M,Finland,0,"Linux, AWS, Hadoop, SQL",Master,4,Energy,8.9,Digital Transformation LLC,1,1,2,1,0,0,0.03945578231292517,0.03792517006802721
Machine Learning Researcher,75425,MI,France,M,France,100,"Python, Kubernetes, Deep Learning, Hadoop, R",Master,4,Telecommunications,9.1,DeepTech Ventures,1,1,2,0,1,0,0.050255102040816325,0.04319727891156463
Research Scientist,218691,EX,Germany,S,Germany,100,"Linux, Statistics, Hadoop, Spark, MLOps",PhD,12,Technology,6.0,Future Systems,3,0,3,0,0,0,0.05136054421768708,0.04149659863945578
AI Research Scientist,70887,MI,Germany,S,Germany,50,"Python, Java, AWS, Scala, SQL",Associate,4,Retail,5.4,Smart Analytics,1,0,0,0,1,0,0.05136054421768708,0.04149659863945578
Head of AI,295681,EX,Denmark,L,Denmark,100,"Tableau, Linux, Git",Master,10,Healthcare,9.4,Digital Transformation LLC,3,2,2,0,1,0,0.049829931972789114,0.03843537414965986
AI Consultant,185304,EX,United Kingdom,L,Czech Republic,0,"SQL, Hadoop, MLOps",PhD,16,Automotive,6.6,Autonomous Tech,3,2,3,0,1,0,0.052636054421768705,0.006122448979591836
Autonomous Systems Engineer,57804,SE,China,M,China,50,"Git, Python, Statistics, Azure",Bachelor,5,Government,6.5,Cloud AI Solutions,2,1,1,0,1,0,0.050085034013605444,0.04353741496598639
Autonomous Systems Engineer,38622,MI,India,M,India,100,"Git, Linux, AWS, TensorFlow",Associate,3,Technology,6.7,Cloud AI Solutions,1,1,0,0,1,0,0.03945578231292517,0.03784013605442177
AI Architect,243320,EX,Israel,L,Israel,0,"NLP, Scala, Python, Computer Vision",PhD,16,Telecommunications,5.8,DataVision Ltd,3,2,3,0,0,0,0.05187074829931973,0.04098639455782313
AI Software Engineer,118901,MI,Netherlands,L,Netherlands,100,"Linux, Java, Statistics",Bachelor,4,Transportation,5.5,Algorithmic Solutions,1,2,1,1,0,0,0.050425170068027214,0.04047619047619048
AI Architect,126435,SE,Israel,S,Israel,0,"PyTorch, SQL, Linux",Bachelor,5,Real Estate,5.6,Algorithmic Solutions,2,0,1,0,1,0,0.05187074829931973,0.04098639455782313
Head of AI,97961,MI,Israel,L,Israel,0,"AWS, Azure, Git, Mathematics",PhD,4,Education,8.1,Future Systems,1,2,3,0,0,1,0.05187074829931973,0.04098639455782313
Head of AI,74701,EN,United States,L,United States,50,"SQL, Git, Java, Mathematics",Master,0,Telecommunications,6.5,Cloud AI Solutions,0,2,2,0,0,1,0.05314625850340136,0.042261904761904764
NLP Engineer,123212,SE,Singapore,S,Singapore,0,"Azure, PyTorch, GCP",PhD,5,Transportation,5.9,Future Systems,2,0,3,0,0,1,0.05204081632653061,0.04175170068027211
Data Scientist,40011,MI,China,M,China,100,"Linux, Tableau, Spark, Java",Associate,3,Finance,9.5,DeepTech Ventures,1,1,0,0,0,0,0.050085034013605444,0.04353741496598639
AI Architect,235688,EX,France,M,Argentina,0,"AWS, Git, Data Visualization, Statistics",Master,15,Transportation,6.6,Autonomous Tech,3,1,2,0,0,1,0.050255102040816325,0.0068877551020408165
Data Analyst,214783,EX,Japan,S,Japan,50,"R, Linux, Mathematics, MLOps, SQL",Master,12,Energy,6.1,Predictive Systems,3,0,2,0,0,0,0.050085034013605444,0.03988095238095238
Research Scientist,79425,EN,United States,S,Portugal,0,"Spark, R, Scala",Bachelor,0,Retail,6.3,Machine Intelligence Group,0,0,1,0,0,0,0.05314625850340136,0.005782312925170068
NLP Engineer,78087,EN,Canada,L,Belgium,50,"MLOps, R, Computer Vision",Bachelor,1,Technology,9.2,AI Innovations,0,2,1,0,1,0,0.053316326530612246,0.006377551020408163
AI Specialist,175295,SE,United States,M,United States,0,"Hadoop, Tableau, Linux, Scala, Python",Master,8,Technology,5.5,Neural Networks Co,2,1,2,0,0,0,0.05314625850340136,0.042261904761904764
AI Research Scientist,178653,EX,Austria,L,Germany,0,"GCP, Kubernetes, Python",Master,18,Healthcare,7.3,Autonomous Tech,3,2,2,0,0,0,0.04625850340136054,0.04149659863945578
Head of AI,56288,EN,South Korea,S,South Korea,100,"Data Visualization, Java, Scala, Python, TensorFlow",PhD,0,Retail,9.3,DataVision Ltd,0,0,3,0,1,0,0.053061224489795916,0.04013605442176871
Data Engineer,159778,SE,Ireland,L,Romania,100,"Spark, Kubernetes, SQL, PyTorch",Bachelor,8,Manufacturing,9.3,Autonomous Tech,2,2,1,0,0,0,0.05127551020408163,0.00816326530612245
Data Engineer,170795,EX,Austria,M,Austria,50,"Java, SQL, GCP",PhD,17,Gaming,8.1,Quantum Computing Inc,3,1,3,0,0,1,0.04625850340136054,0.03860544217687075
Machine Learning Researcher,89432,MI,South Korea,L,South Korea,0,"GCP, Data Visualization, Kubernetes, Docker",Associate,2,Education,8.6,Predictive Systems,1,2,0,0,1,0,0.053061224489795916,0.04013605442176871
AI Consultant,28360,EN,China,M,Luxembourg,0,"Python, TensorFlow, PyTorch",Associate,0,Retail,9.6,Cognitive Computing,0,1,0,1,0,0,0.050085034013605444,0.006207482993197279
Principal Data Scientist,116363,MI,Netherlands,L,Netherlands,100,"Java, Python, Computer Vision",Bachelor,4,Automotive,6.8,Machine Intelligence Group,1,2,1,0,0,0,0.050425170068027214,0.04047619047619048
AI Software Engineer,117847,SE,South Korea,L,South Korea,100,"Scala, Python, Hadoop, Docker",Associate,7,Finance,5.3,Cloud AI Solutions,2,2,0,0,1,0,0.053061224489795916,0.04013605442176871
Machine Learning Engineer,129729,SE,Germany,M,Germany,50,"Docker, Linux, Spark, Python",Associate,8,Technology,7.5,TechCorp Inc,2,1,0,0,1,0,0.05136054421768708,0.04149659863945578
AI Software Engineer,251077,EX,Sweden,L,Sweden,50,"Python, GCP, Mathematics, AWS",Bachelor,16,Retail,7.2,Future Systems,3,2,1,0,0,1,0.05085034013605442,0.03988095238095238
Machine Learning Researcher,78383,SE,South Korea,S,Austria,0,"Azure, Python, MLOps, R",Bachelor,9,Government,6.8,Algorithmic Solutions,2,0,1,0,0,0,0.053061224489795916,0.03860544217687075
Data Analyst,255126,EX,United Kingdom,L,Netherlands,50,"Docker, MLOps, Data Visualization",Master,17,Technology,5.4,Cognitive Computing,3,2,2,0,0,1,0.052636054421768705,0.04047619047619048
Principal Data Scientist,64885,EN,Canada,L,South Africa,0,"AWS, Hadoop, R, Kubernetes",Associate,1,Retail,8.2,Neural Networks Co,0,2,0,0,0,0,0.053316326530612246,0.006717687074829932
Data Engineer,109990,MI,Germany,M,United States,50,"Python, Java, Hadoop, Statistics, Computer Vision",Master,3,Real Estate,5.8,Machine Intelligence Group,1,1,2,1,0,0,0.05136054421768708,0.042261904761904764
Computer Vision Engineer,149033,MI,Switzerland,M,Switzerland,0,"Git, TensorFlow, Data Visualization, Computer Vision, Docker",PhD,4,Media,9.8,Advanced Robotics,1,1,3,0,1,0,0.04957482993197279,0.04175170068027211
Machine Learning Engineer,197070,EX,Canada,S,Canada,100,"PyTorch, Hadoop, Python, Git",Bachelor,10,Government,10.0,Digital Transformation LLC,3,0,1,0,1,0,0.053316326530612246,0.04336734693877551
Deep Learning Engineer,51437,EN,France,M,France,50,"MLOps, AWS, Python, Hadoop, Statistics",Master,0,Media,8.6,Quantum Computing Inc,0,1,2,0,0,1,0.050255102040816325,0.04319727891156463
Autonomous Systems Engineer,158388,SE,Austria,L,Austria,50,"MLOps, Azure, Tableau, Data Visualization",PhD,7,Transportation,9.8,DataVision Ltd,2,2,3,0,0,1,0.04625850340136054,0.03860544217687075
AI Consultant,176619,SE,Norway,M,Norway,0,"Git, AWS, Kubernetes, Hadoop",PhD,6,Consulting,7.1,Predictive Systems,2,1,3,0,1,0,0.04846938775510204,0.03903061224489796
Principal Data Scientist,69140,MI,Germany,S,Philippines,100,"Java, Computer Vision, R",Associate,4,Education,9.2,AI Innovations,1,0,0,1,0,0,0.05136054421768708,0.00586734693877551
Machine Learning Researcher,196588,SE,Switzerland,M,Estonia,0,"Data Visualization, Docker, R",Associate,9,Energy,7.5,Autonomous Tech,2,1,0,0,1,0,0.04957482993197279,0.006717687074829932
AI Research Scientist,123845,SE,United States,S,New Zealand,50,"AWS, Deep Learning, Git, Docker, Azure",Bachelor,6,Transportation,6.2,Algorithmic Solutions,2,0,1,0,0,0,0.05314625850340136,0.007227891156462585
AI Software Engineer,31432,MI,India,M,India,0,"Python, Statistics, TensorFlow, Kubernetes, Azure",PhD,2,Finance,7.7,Future Systems,1,1,3,0,0,1,0.03945578231292517,0.03784013605442177
Data Analyst,61708,EN,Germany,S,Germany,50,"Hadoop, Python, Git",Bachelor,1,Manufacturing,7.5,DataVision Ltd,0,0,1,0,0,1,0.05136054421768708,0.04149659863945578
Machine Learning Engineer,79088,EN,Sweden,L,Sweden,0,"Data Visualization, Tableau, SQL, Mathematics",Bachelor,0,Media,8.9,Advanced Robotics,0,2,1,0,1,0,0.05085034013605442,0.03988095238095238
Data Engineer,214274,EX,United States,M,Czech Republic,100,"Java, Data Visualization, PyTorch",Master,13,Technology,8.0,Digital Transformation LLC,3,1,2,0,0,0,0.05314625850340136,0.006122448979591836
