job_title,experience_level,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,benefits_score
Principal Data Scientist,EN,South Korea,L,South Korea,50,Bachelor,0,Media,9.5
Computer Vision Engineer,MI,Singapore,S,Singapore,0,Master,4,Telecommunications,7.5
Robotics Engineer,MI,India,L,India,0,Bachelor,4,Finance,6.6
Autonomous Systems Engineer,SE,Canada,L,Canada,50,Bachelor,7,Consulting,6.1
Principal Data Scientist,EN,Norway,L,Norway,100,PhD,0,Retail,7.5
Deep Learning Engineer,SE,India,M,Australia,0,Master,9,Telecommunications,8.3
AI Consultant,MI,France,S,France,100,Master,3,Finance,5.6
AI Product Manager,MI,France,S,France,100,Bachelor,4,Finance,5.4
AI Consultant,EX,France,M,Turkey,0,Bachelor,10,Education,8.5
Research Scientist,EN,Israel,L,Israel,50,Master,0,Real Estate,5.6
Data Engineer,EX,Finland,L,Finland,50,Associate,10,Media,6.5
Computer Vision Engineer,MI,South Korea,S,South Korea,100,Master,3,Automotive,7.3
Autonomous Systems Engineer,EN,Finland,L,Finland,100,Associate,1,Telecommunications,5.9
Robotics Engineer,EX,Singapore,M,Netherlands,100,PhD,17,Healthcare,8.4
Head of AI,MI,Finland,L,Czech Republic,100,Bachelor,2,Finance,9.4
Data Analyst,SE,South Korea,S,Estonia,0,Associate,9,Education,9.4
Data Engineer,MI,Japan,S,South Africa,100,Associate,2,Real Estate,6.3
Data Analyst,EN,Australia,S,Australia,0,Bachelor,0,Consulting,10.0
AI Specialist,EN,Japan,M,Japan,100,Master,1,Telecommunications,8.8
Autonomous Systems Engineer,SE,India,L,South Korea,50,PhD,6,Telecommunications,8.9
AI Specialist,EX,Germany,L,New Zealand,100,Master,15,Gaming,5.1
Research Scientist,SE,Japan,S,Japan,100,Associate,8,Energy,7.7
AI Research Scientist,MI,India,L,India,50,Master,3,Real Estate,8.1
Deep Learning Engineer,SE,Sweden,M,Brazil,50,Bachelor,8,Real Estate,7.0
Head of AI,EN,Finland,L,Finland,0,Master,1,Automotive,6.3
ML Ops Engineer,MI,United States,S,China,100,Associate,2,Automotive,9.5
Machine Learning Researcher,EX,Singapore,M,Singapore,100,PhD,14,Transportation,9.0
AI Architect,SE,Austria,S,Finland,50,Associate,8,Manufacturing,9.0
Head of AI,MI,United Kingdom,L,United Kingdom,50,Master,4,Energy,6.4
AI Architect,SE,Canada,M,Indonesia,100,Master,9,Automotive,5.7
AI Architect,EN,Ireland,S,Ireland,50,Bachelor,0,Transportation,5.9
AI Product Manager,MI,Israel,M,Japan,0,Master,3,Media,8.2
Data Scientist,EX,Singapore,S,Singapore,0,Associate,11,Energy,7.4
Machine Learning Researcher,EN,China,M,Chile,0,PhD,1,Telecommunications,8.1
Data Engineer,EN,South Korea,L,South Korea,0,Bachelor,1,Automotive,7.9
AI Consultant,EN,Norway,M,Norway,0,Bachelor,0,Media,5.1
Machine Learning Researcher,MI,Norway,S,Norway,0,Master,2,Transportation,5.4
Head of AI,EX,China,S,Turkey,0,Associate,19,Retail,7.2
AI Software Engineer,EX,Singapore,S,Singapore,100,Master,17,Finance,9.3
Autonomous Systems Engineer,EN,Switzerland,L,Australia,0,Bachelor,0,Energy,5.7
Data Scientist,MI,South Korea,L,Luxembourg,0,Master,2,Automotive,6.3
AI Product Manager,EX,Japan,S,Japan,100,Bachelor,17,Retail,6.2
Deep Learning Engineer,EX,France,M,France,100,Bachelor,18,Telecommunications,7.3
Data Scientist,SE,France,L,France,50,PhD,6,Transportation,7.3
AI Specialist,SE,Israel,M,Kenya,50,Associate,5,Telecommunications,5.4
Data Engineer,EN,India,L,India,0,PhD,0,Automotive,9.3
Machine Learning Engineer,SE,France,M,France,0,Master,6,Energy,7.3
Machine Learning Engineer,SE,France,L,France,50,Master,5,Retail,8.4
Autonomous Systems Engineer,MI,Singapore,L,Singapore,100,Associate,4,Finance,6.3
Deep Learning Engineer,EN,Sweden,M,Egypt,50,PhD,0,Healthcare,8.2
AI Research Scientist,SE,Norway,S,Poland,0,Bachelor,8,Automotive,7.6
AI Consultant,SE,Denmark,M,Denmark,0,PhD,8,Finance,8.0
AI Product Manager,EX,South Korea,M,South Korea,0,PhD,17,Real Estate,6.2
Head of AI,EX,Germany,M,Germany,50,Associate,16,Energy,8.1
Machine Learning Engineer,SE,Sweden,L,Sweden,100,Associate,9,Manufacturing,7.7
ML Ops Engineer,SE,Singapore,M,Portugal,0,Bachelor,9,Consulting,5.6
Data Analyst,SE,Israel,S,Netherlands,100,Bachelor,5,Education,7.4
Head of AI,EN,Denmark,L,Denmark,100,PhD,1,Gaming,6.0
Robotics Engineer,EN,Austria,M,Austria,100,Bachelor,1,Technology,9.4
Research Scientist,SE,Singapore,M,Singapore,0,PhD,6,Technology,8.9
AI Consultant,EN,Finland,M,Finland,100,Bachelor,1,Government,9.1
Data Analyst,EX,France,M,South Africa,0,Bachelor,11,Manufacturing,5.2
Machine Learning Researcher,SE,France,S,France,100,Bachelor,6,Government,7.7
ML Ops Engineer,EN,Germany,S,Singapore,0,Master,0,Automotive,7.4
Data Scientist,EN,Singapore,L,Singapore,0,Master,1,Telecommunications,8.0
Computer Vision Engineer,EX,China,L,China,100,Bachelor,19,Healthcare,6.8
Data Scientist,SE,Switzerland,S,Switzerland,0,Bachelor,9,Government,6.2
Machine Learning Engineer,SE,India,M,India,50,Master,8,Transportation,6.9
Data Engineer,EX,Israel,M,Israel,0,PhD,18,Retail,8.6
AI Architect,EX,Canada,S,Canada,100,PhD,13,Real Estate,7.9
AI Product Manager,EN,Norway,S,Ghana,50,PhD,0,Education,7.8
Research Scientist,EN,Switzerland,S,Switzerland,100,Associate,0,Real Estate,6.4
NLP Engineer,SE,Austria,S,Austria,100,Bachelor,6,Retail,5.3
Autonomous Systems Engineer,MI,Switzerland,L,Belgium,0,Associate,3,Energy,5.6
Data Analyst,SE,Ireland,M,Ireland,0,Associate,6,Gaming,5.6
AI Consultant,MI,Finland,S,Finland,0,PhD,3,Manufacturing,9.2
Machine Learning Researcher,EX,Singapore,S,Romania,0,PhD,12,Technology,8.7
Data Analyst,EN,Ireland,M,Ireland,0,Bachelor,0,Energy,6.5
ML Ops Engineer,EX,Germany,M,Germany,0,Bachelor,14,Government,7.6
NLP Engineer,MI,Finland,M,Finland,50,PhD,4,Healthcare,7.1
Deep Learning Engineer,MI,Austria,L,Austria,100,Bachelor,2,Finance,8.3
AI Specialist,MI,United Kingdom,M,United Kingdom,50,Master,4,Healthcare,8.8
Principal Data Scientist,MI,Netherlands,S,Netherlands,0,PhD,2,Finance,7.8
Deep Learning Engineer,SE,United Kingdom,M,Indonesia,50,Bachelor,8,Manufacturing,8.1
Research Scientist,MI,Switzerland,M,Switzerland,100,Master,3,Government,9.6
AI Specialist,MI,Japan,M,Japan,50,PhD,2,Education,5.2
AI Specialist,MI,Japan,S,Japan,100,PhD,2,Healthcare,5.4
Robotics Engineer,SE,Japan,L,Japan,100,Associate,5,Media,5.3
Data Engineer,EN,Sweden,M,Sweden,50,Master,0,Automotive,5.6
Machine Learning Researcher,EX,Finland,S,Finland,50,Associate,15,Telecommunications,9.3
AI Architect,MI,Netherlands,L,Netherlands,0,Bachelor,2,Consulting,7.4
AI Consultant,SE,Norway,M,Italy,50,PhD,9,Consulting,7.6
AI Specialist,SE,Denmark,M,Turkey,100,Associate,9,Finance,6.2
Robotics Engineer,EX,China,L,China,0,PhD,10,Energy,6.3
Head of AI,SE,South Korea,L,Austria,0,Bachelor,5,Manufacturing,8.5
Data Analyst,EN,Japan,M,Japan,100,Associate,1,Government,6.7
Research Scientist,EX,Germany,L,Philippines,100,Master,17,Manufacturing,5.9
Robotics Engineer,SE,Australia,M,Australia,0,Bachelor,9,Telecommunications,5.5
AI Product Manager,SE,France,M,Ukraine,0,Associate,5,Healthcare,7.3
Data Scientist,EN,Canada,M,Canada,50,PhD,1,Consulting,6.8
AI Research Scientist,MI,Japan,L,Japan,0,Master,3,Transportation,9.2
AI Software Engineer,MI,India,L,India,50,Associate,2,Consulting,8.6
AI Specialist,EX,China,L,China,50,Master,10,Government,6.3
Machine Learning Researcher,EX,Denmark,M,Denmark,100,PhD,10,Healthcare,8.4
Data Scientist,EX,Netherlands,S,Netherlands,50,Master,12,Transportation,9.7
Principal Data Scientist,EX,United Kingdom,L,United Kingdom,0,Bachelor,18,Healthcare,8.0
AI Software Engineer,MI,Switzerland,S,Switzerland,100,Associate,3,Government,6.1
Computer Vision Engineer,SE,Austria,S,France,100,PhD,6,Technology,6.6
Computer Vision Engineer,MI,United Kingdom,S,Vietnam,0,Bachelor,2,Consulting,10.0
Data Analyst,EX,India,L,India,50,Associate,18,Technology,7.5
Data Engineer,EX,Ireland,L,Ireland,50,Master,12,Gaming,8.1
ML Ops Engineer,SE,Netherlands,S,Netherlands,0,PhD,5,Manufacturing,9.2
Head of AI,EX,India,L,India,0,Bachelor,16,Energy,6.2
Data Engineer,MI,Germany,S,Germany,50,Associate,3,Education,7.3
Autonomous Systems Engineer,SE,Denmark,S,Denmark,0,Bachelor,8,Automotive,6.7
Principal Data Scientist,MI,India,M,India,0,Master,2,Technology,5.7
Computer Vision Engineer,EX,Finland,M,Finland,0,Bachelor,15,Real Estate,9.4
Robotics Engineer,MI,Ireland,M,Ireland,100,Master,3,Technology,7.0
AI Product Manager,EX,Sweden,S,Sweden,100,Master,13,Government,6.2
Research Scientist,SE,Switzerland,S,Switzerland,50,Bachelor,8,Gaming,5.9
ML Ops Engineer,MI,Israel,L,Israel,50,Master,4,Technology,5.7
Research Scientist,EN,China,S,China,0,Associate,1,Government,9.3
AI Specialist,EX,Canada,S,Canada,50,Master,10,Media,8.8
Data Scientist,EX,Denmark,S,Denmark,0,PhD,17,Real Estate,7.3
Head of AI,SE,Australia,L,Australia,50,Bachelor,7,Gaming,9.6
AI Consultant,SE,South Korea,M,South Korea,100,Associate,7,Transportation,8.2
Data Analyst,EN,Australia,L,Australia,0,PhD,1,Gaming,8.2
Principal Data Scientist,MI,Sweden,M,South Africa,100,PhD,3,Retail,8.0
Data Engineer,EN,Finland,L,Finland,0,PhD,1,Gaming,9.6
Data Engineer,SE,Netherlands,M,Luxembourg,0,PhD,8,Healthcare,8.5
Data Scientist,SE,France,L,Mexico,50,Associate,5,Technology,9.5
Machine Learning Researcher,EN,Austria,L,Ukraine,0,Associate,0,Government,9.8
AI Architect,MI,Switzerland,M,Switzerland,100,Associate,2,Finance,7.9
Robotics Engineer,EX,United States,S,United States,50,Bachelor,15,Transportation,6.0
AI Software Engineer,EX,China,L,China,100,Associate,15,Media,6.9
AI Software Engineer,SE,Australia,L,Australia,0,Associate,5,Automotive,9.4
Data Engineer,EN,Japan,S,Japan,50,Associate,1,Retail,6.5
NLP Engineer,EN,Canada,S,Canada,100,PhD,1,Finance,7.6
NLP Engineer,SE,Finland,M,Finland,100,Bachelor,8,Finance,9.3
Machine Learning Engineer,SE,Sweden,L,Sweden,100,Bachelor,8,Telecommunications,5.6
Data Scientist,EX,Australia,L,Italy,50,Associate,19,Media,8.6
ML Ops Engineer,SE,South Korea,S,Malaysia,50,Associate,9,Technology,7.3
AI Specialist,SE,Germany,S,Germany,100,Associate,5,Energy,5.8
AI Research Scientist,EN,Israel,S,Estonia,0,Master,0,Media,8.9
AI Product Manager,MI,China,S,China,0,Associate,2,Automotive,6.1
AI Software Engineer,EN,Denmark,S,Denmark,100,Associate,1,Automotive,9.8
Computer Vision Engineer,EN,Israel,M,Austria,50,Associate,0,Retail,8.0
Data Scientist,MI,Canada,S,Canada,0,Associate,3,Automotive,5.4
Data Scientist,EX,India,M,India,0,Bachelor,14,Energy,9.1
Data Scientist,MI,Japan,S,Japan,100,PhD,3,Telecommunications,9.4
Head of AI,MI,United States,S,United States,100,PhD,3,Finance,5.6
Robotics Engineer,EN,Netherlands,L,Netherlands,0,PhD,0,Finance,5.8
Computer Vision Engineer,MI,France,L,France,100,Associate,3,Healthcare,6.4
Research Scientist,MI,Switzerland,L,Hungary,0,PhD,2,Media,5.0
Data Analyst,EX,Ireland,M,Belgium,100,Associate,17,Gaming,7.4
Machine Learning Researcher,EN,Netherlands,L,Netherlands,50,Associate,1,Education,6.0
Research Scientist,EX,Ireland,M,Ireland,0,Bachelor,12,Telecommunications,8.6
Head of AI,EN,United States,M,United States,50,PhD,1,Gaming,10.0
Principal Data Scientist,SE,Finland,L,Finland,50,Bachelor,7,Consulting,7.9
Robotics Engineer,EN,South Korea,S,Poland,100,Bachelor,1,Media,7.3
AI Software Engineer,MI,Norway,S,Norway,0,Associate,3,Gaming,9.6
AI Research Scientist,MI,Israel,M,Switzerland,50,Master,2,Manufacturing,7.7
Machine Learning Engineer,EN,France,M,Luxembourg,100,Master,0,Consulting,5.2
Data Analyst,SE,Netherlands,M,Mexico,50,Master,9,Healthcare,9.2
Data Analyst,MI,Finland,S,India,0,Bachelor,2,Government,7.0
Deep Learning Engineer,MI,Singapore,L,Singapore,100,Associate,2,Technology,5.6
ML Ops Engineer,SE,Austria,S,France,100,Associate,7,Automotive,5.5
Research Scientist,EN,Japan,S,Japan,50,Bachelor,1,Healthcare,6.2
Principal Data Scientist,EN,United Kingdom,S,United Kingdom,100,Bachelor,1,Energy,9.2
AI Research Scientist,MI,Austria,L,Austria,100,Bachelor,2,Automotive,8.1
Machine Learning Researcher,EN,Denmark,M,Denmark,100,Associate,1,Finance,6.4
Deep Learning Engineer,EN,United States,M,United States,50,Associate,1,Telecommunications,6.3
Machine Learning Researcher,MI,United Kingdom,L,United Kingdom,50,Master,3,Gaming,6.4
Computer Vision Engineer,EX,Sweden,M,Sweden,50,Bachelor,15,Consulting,8.0
AI Consultant,EN,Singapore,M,India,0,Associate,1,Telecommunications,6.9
Data Scientist,MI,France,M,France,100,Bachelor,3,Automotive,5.6
Computer Vision Engineer,MI,Switzerland,L,Switzerland,0,Bachelor,3,Finance,6.6
AI Software Engineer,EN,South Korea,L,Nigeria,0,Bachelor,1,Education,8.6
Head of AI,SE,Israel,S,Israel,100,PhD,8,Transportation,7.3
Data Engineer,SE,Germany,L,Germany,50,Associate,5,Retail,6.5
Autonomous Systems Engineer,EX,Ireland,L,Ireland,100,Bachelor,15,Retail,8.0
Machine Learning Researcher,MI,Denmark,L,South Africa,100,Master,2,Finance,7.4
Principal Data Scientist,MI,United Kingdom,M,Canada,50,Master,4,Manufacturing,6.1
Data Analyst,MI,Norway,L,Turkey,100,Bachelor,4,Automotive,9.6
Principal Data Scientist,SE,Finland,M,Finland,50,PhD,6,Telecommunications,6.7
ML Ops Engineer,MI,France,M,France,50,Bachelor,4,Energy,6.4
Deep Learning Engineer,EN,Japan,M,United States,100,PhD,0,Healthcare,9.2
Research Scientist,SE,Sweden,L,Sweden,0,Master,7,Government,5.9
Data Scientist,EX,Singapore,L,India,100,Master,12,Transportation,5.6
Computer Vision Engineer,EX,Singapore,S,Ghana,50,Associate,15,Gaming,6.8
AI Consultant,MI,United Kingdom,M,United Kingdom,100,Bachelor,4,Manufacturing,5.5
AI Architect,EX,Singapore,S,Singapore,50,PhD,12,Retail,6.8
Principal Data Scientist,EN,France,M,United Kingdom,50,PhD,0,Government,6.0
Data Scientist,MI,France,M,Singapore,50,Associate,4,Consulting,7.5
Head of AI,EX,Denmark,S,Sweden,100,Associate,11,Retail,8.8
Deep Learning Engineer,EN,Norway,L,Norway,50,Master,1,Technology,7.3
Research Scientist,EN,Denmark,L,Denmark,100,Associate,1,Telecommunications,6.1
Machine Learning Researcher,EN,Canada,M,Turkey,100,Master,0,Retail,5.6
Data Scientist,EN,United States,L,Brazil,50,PhD,1,Finance,9.5
ML Ops Engineer,SE,Japan,M,Japan,50,PhD,9,Consulting,8.3
NLP Engineer,MI,Israel,S,Israel,0,PhD,4,Gaming,5.4
NLP Engineer,SE,Israel,S,Israel,0,Bachelor,9,Retail,8.6
ML Ops Engineer,MI,Germany,S,Egypt,100,Master,4,Real Estate,7.6
Data Engineer,SE,Finland,M,Finland,0,PhD,7,Media,9.4
Machine Learning Researcher,EN,Australia,M,Australia,0,Bachelor,0,Gaming,8.6
ML Ops Engineer,SE,South Korea,S,Netherlands,50,Master,7,Manufacturing,5.5
Computer Vision Engineer,EN,Netherlands,M,Netherlands,100,PhD,0,Retail,6.5
Principal Data Scientist,MI,Norway,S,Norway,50,PhD,3,Energy,7.8
AI Software Engineer,EN,Singapore,L,Philippines,50,Associate,0,Manufacturing,6.9
Research Scientist,EN,Norway,S,Norway,100,Bachelor,0,Gaming,8.6
AI Product Manager,EN,China,M,China,0,Bachelor,0,Media,8.5
AI Product Manager,EX,Germany,M,Nigeria,100,Master,19,Government,8.8
Machine Learning Engineer,EX,United States,L,United States,50,Associate,19,Automotive,9.9
Principal Data Scientist,MI,Singapore,S,Singapore,100,Associate,2,Media,9.5
Principal Data Scientist,EX,India,M,Canada,50,Master,12,Gaming,8.3
AI Product Manager,SE,Germany,L,Germany,100,Associate,5,Government,6.3
AI Research Scientist,SE,Singapore,M,Singapore,50,Bachelor,8,Automotive,6.0
Robotics Engineer,SE,Germany,S,Germany,100,Bachelor,6,Media,8.7
Data Analyst,SE,Canada,L,Egypt,0,Bachelor,8,Telecommunications,6.6
AI Specialist,SE,Singapore,S,Singapore,100,Bachelor,5,Retail,7.2
Autonomous Systems Engineer,EN,United Kingdom,M,United Kingdom,0,PhD,1,Manufacturing,9.8
AI Architect,EN,Denmark,S,Norway,0,PhD,1,Automotive,7.9
Data Scientist,EX,China,L,China,50,Master,17,Finance,9.2
NLP Engineer,SE,Singapore,L,New Zealand,50,Bachelor,8,Energy,8.6
Robotics Engineer,EX,Finland,M,Finland,50,Master,11,Education,6.7
Deep Learning Engineer,EN,United Kingdom,S,Netherlands,50,Master,1,Healthcare,6.6
AI Product Manager,SE,Finland,L,Finland,50,Master,9,Consulting,9.1
Machine Learning Engineer,EN,India,L,India,0,Associate,0,Real Estate,6.5
Data Analyst,SE,Australia,S,Mexico,50,PhD,7,Gaming,8.7
AI Research Scientist,SE,Norway,L,Estonia,100,Bachelor,6,Gaming,6.4
AI Consultant,MI,Finland,M,Indonesia,50,Associate,3,Finance,7.6
Data Engineer,EN,Denmark,M,Thailand,50,PhD,0,Consulting,7.8
Research Scientist,EN,Canada,M,Canada,0,Associate,1,Telecommunications,6.8
Data Scientist,SE,Sweden,M,Sweden,0,Bachelor,9,Healthcare,9.6
Data Engineer,SE,China,S,China,50,Master,8,Manufacturing,5.4
Data Engineer,EN,Japan,S,Japan,100,PhD,1,Transportation,6.1
AI Product Manager,SE,South Korea,S,South Korea,100,PhD,8,Government,8.8
Machine Learning Engineer,MI,Singapore,S,Singapore,100,Master,3,Real Estate,9.1
Computer Vision Engineer,EX,Germany,S,Germany,100,PhD,19,Retail,8.2
Autonomous Systems Engineer,EN,Canada,M,Canada,100,PhD,1,Energy,10.0
Computer Vision Engineer,SE,Singapore,S,Philippines,100,PhD,9,Telecommunications,6.1
ML Ops Engineer,MI,Netherlands,L,Netherlands,100,PhD,3,Consulting,7.7
Machine Learning Engineer,SE,Norway,M,Thailand,0,Master,5,Consulting,7.0
AI Software Engineer,EX,China,S,China,100,Master,16,Retail,5.7
AI Specialist,EN,Austria,M,Brazil,100,Master,0,Transportation,5.3
Head of AI,MI,Ireland,M,Spain,0,Master,3,Manufacturing,8.2
AI Architect,SE,France,S,Philippines,100,Associate,5,Media,6.8
Principal Data Scientist,SE,United States,S,United States,0,Bachelor,9,Telecommunications,9.9
Machine Learning Engineer,EN,France,S,Nigeria,100,Master,0,Gaming,6.7
Deep Learning Engineer,MI,India,M,India,0,Master,4,Education,6.8
Data Engineer,SE,South Korea,L,South Korea,100,Master,7,Government,7.2
Data Engineer,MI,Germany,M,Canada,50,Bachelor,3,Technology,6.9
ML Ops Engineer,EN,France,L,France,0,Master,0,Healthcare,9.4
Research Scientist,EN,South Korea,L,South Korea,100,Master,1,Energy,6.0
NLP Engineer,MI,Canada,S,Canada,0,Bachelor,4,Retail,5.6
Computer Vision Engineer,MI,Netherlands,M,Romania,100,Master,2,Energy,7.8
AI Research Scientist,SE,Sweden,L,Sweden,100,Bachelor,9,Automotive,8.8
Machine Learning Engineer,EX,Austria,M,Austria,50,PhD,10,Finance,8.2
Machine Learning Engineer,SE,Norway,L,Chile,100,Master,9,Retail,5.4
Data Scientist,MI,Netherlands,M,Malaysia,100,PhD,3,Gaming,5.8
Robotics Engineer,MI,Denmark,S,Denmark,50,PhD,4,Technology,5.7
Research Scientist,EX,Sweden,M,Sweden,0,Associate,14,Healthcare,9.2
Data Analyst,EN,India,M,Argentina,100,Bachelor,1,Energy,7.4
AI Product Manager,EN,United Kingdom,S,Spain,50,Associate,1,Technology,5.5
Data Analyst,MI,Norway,L,Denmark,50,Master,4,Automotive,7.7
AI Research Scientist,EN,Israel,L,Israel,0,Bachelor,0,Consulting,6.2
AI Software Engineer,MI,Netherlands,L,Netherlands,50,Master,3,Retail,7.6
Deep Learning Engineer,SE,Finland,S,Finland,0,Bachelor,5,Healthcare,7.4
Data Engineer,MI,Ireland,S,Ireland,100,Associate,4,Transportation,8.6
AI Architect,EN,South Korea,S,South Korea,0,Associate,0,Transportation,7.1
AI Software Engineer,MI,Netherlands,S,Netherlands,50,Master,3,Gaming,7.4
Autonomous Systems Engineer,EN,Sweden,M,Sweden,0,PhD,0,Gaming,6.4
Research Scientist,EN,South Korea,S,Australia,100,Bachelor,0,Real Estate,6.2
Machine Learning Engineer,MI,Finland,M,India,0,PhD,4,Finance,5.6
AI Research Scientist,SE,China,M,China,50,Master,5,Retail,7.5
AI Consultant,EX,Finland,L,Finland,100,PhD,13,Media,8.6
Deep Learning Engineer,MI,China,L,Switzerland,0,PhD,2,Retail,7.2
AI Research Scientist,MI,Denmark,S,Poland,50,Associate,4,Automotive,6.1
Deep Learning Engineer,EX,Canada,L,Canada,100,Associate,15,Telecommunications,9.4
Principal Data Scientist,MI,India,L,India,0,PhD,2,Education,5.8
Robotics Engineer,EX,Ireland,S,New Zealand,50,PhD,10,Technology,6.3
AI Architect,SE,Austria,M,Australia,50,Associate,5,Media,8.7
AI Architect,MI,Japan,L,Turkey,50,Master,4,Healthcare,5.8
AI Consultant,EX,Germany,L,Germany,0,Master,14,Gaming,5.1
Robotics Engineer,EX,Singapore,S,Singapore,50,Associate,11,Healthcare,8.7
Data Analyst,SE,Israel,M,Israel,100,Associate,9,Consulting,5.2
Deep Learning Engineer,SE,Austria,L,Australia,100,Master,6,Gaming,5.1
Computer Vision Engineer,MI,India,S,Switzerland,0,Master,2,Healthcare,5.4
AI Product Manager,MI,Singapore,M,Vietnam,100,Master,4,Gaming,9.1
Deep Learning Engineer,EX,India,M,India,100,Bachelor,13,Finance,6.0
NLP Engineer,SE,Netherlands,M,Denmark,100,PhD,6,Real Estate,9.5
AI Product Manager,MI,Ireland,L,Ireland,100,Master,4,Real Estate,7.6
Principal Data Scientist,EN,Sweden,M,Thailand,0,Associate,1,Real Estate,5.5
Data Engineer,SE,South Korea,M,South Korea,0,Associate,7,Government,6.8
Machine Learning Engineer,EN,Finland,S,Finland,100,Associate,1,Energy,6.4
Machine Learning Researcher,EN,India,M,India,0,Bachelor,0,Media,7.7
Computer Vision Engineer,MI,France,M,France,100,Master,4,Gaming,5.7
Head of AI,EX,Austria,M,Austria,0,Associate,13,Technology,5.0
AI Research Scientist,MI,Canada,S,Colombia,50,Bachelor,3,Gaming,6.6
Data Scientist,EX,Canada,M,Canada,0,Associate,19,Real Estate,8.9
AI Product Manager,SE,Singapore,L,Belgium,50,Associate,9,Real Estate,6.6
AI Research Scientist,EN,Australia,L,Australia,0,PhD,0,Finance,5.5
Deep Learning Engineer,MI,Norway,S,Norway,50,Bachelor,3,Telecommunications,6.5
Head of AI,SE,India,S,India,50,Master,8,Media,9.5
Data Engineer,EN,Norway,L,Thailand,0,Bachelor,1,Gaming,8.8
Research Scientist,MI,Norway,M,Norway,50,PhD,2,Manufacturing,9.8
AI Research Scientist,SE,Singapore,M,Singapore,0,Associate,5,Education,7.5
Research Scientist,MI,Australia,L,Australia,0,Bachelor,4,Gaming,5.3
Autonomous Systems Engineer,SE,France,M,France,50,PhD,8,Consulting,5.7
AI Software Engineer,EN,United Kingdom,S,United Kingdom,50,Master,0,Technology,9.0
Computer Vision Engineer,EN,Australia,M,Australia,50,Bachelor,1,Retail,8.3
Research Scientist,MI,Japan,M,Japan,0,Associate,3,Manufacturing,7.0
Data Analyst,SE,Sweden,S,Sweden,0,Associate,9,Transportation,5.6
AI Consultant,MI,United States,L,Egypt,100,Associate,3,Media,7.8
Data Scientist,EN,Canada,S,Canada,100,PhD,1,Education,6.6
Computer Vision Engineer,EN,Austria,L,Austria,100,PhD,1,Energy,9.6
AI Architect,SE,United Kingdom,L,United Kingdom,100,PhD,5,Telecommunications,5.6
Research Scientist,MI,China,L,China,0,Bachelor,3,Transportation,5.3
Data Scientist,EX,India,M,Poland,0,Bachelor,13,Retail,9.1
Research Scientist,SE,Germany,S,Switzerland,0,Master,8,Healthcare,6.2
AI Consultant,EN,Sweden,M,Sweden,0,Associate,1,Manufacturing,6.1
Data Engineer,EN,Switzerland,M,Switzerland,0,PhD,0,Transportation,7.3
Deep Learning Engineer,SE,Norway,L,Singapore,100,PhD,7,Real Estate,6.3
Machine Learning Engineer,EN,Netherlands,L,Netherlands,100,PhD,0,Retail,7.4
Research Scientist,MI,Netherlands,M,Romania,0,Bachelor,4,Education,6.6
AI Specialist,EN,Canada,L,South Africa,100,Master,0,Education,8.9
AI Product Manager,EX,Ireland,L,Hungary,50,Master,11,Government,7.1
AI Research Scientist,SE,Japan,S,Japan,50,Master,7,Retail,9.2
AI Software Engineer,EN,Japan,S,South Korea,50,PhD,1,Media,5.1
AI Architect,SE,United States,M,United States,50,PhD,5,Media,6.1
AI Architect,SE,Sweden,L,Poland,100,Bachelor,5,Telecommunications,6.9
NLP Engineer,EX,Japan,L,Japan,50,Master,16,Government,5.7
Deep Learning Engineer,SE,Sweden,M,Brazil,50,Master,8,Technology,6.4
AI Specialist,EN,Ireland,M,Ireland,50,Master,0,Transportation,6.9
Robotics Engineer,MI,Germany,S,Brazil,0,Master,3,Finance,5.5
Research Scientist,EX,Israel,S,France,0,PhD,16,Transportation,8.8
Deep Learning Engineer,EN,United Kingdom,S,United Kingdom,100,Master,0,Retail,9.9
Computer Vision Engineer,EX,India,M,India,100,Associate,15,Manufacturing,7.9
Deep Learning Engineer,EX,Israel,S,Israel,50,PhD,15,Manufacturing,5.2
Data Analyst,MI,Norway,S,Norway,0,Master,4,Transportation,10.0
AI Product Manager,EN,United States,L,Ukraine,100,Bachelor,1,Technology,6.7
AI Architect,SE,Sweden,M,Sweden,100,PhD,8,Manufacturing,6.4
Computer Vision Engineer,EN,United Kingdom,L,Ireland,50,PhD,0,Finance,6.2
Data Engineer,EX,United States,M,United States,0,Associate,18,Media,6.2
ML Ops Engineer,EX,Canada,S,Canada,0,Associate,16,Real Estate,8.6
NLP Engineer,EX,Germany,L,Germany,0,PhD,13,Finance,9.0
Autonomous Systems Engineer,EN,United States,L,United States,100,Master,1,Consulting,9.8
AI Architect,EX,Ireland,S,Ireland,0,Master,11,Gaming,8.3
Deep Learning Engineer,EN,Ireland,L,Ireland,100,Associate,1,Government,6.4
Autonomous Systems Engineer,EN,Singapore,S,Singapore,50,Bachelor,0,Technology,5.5
Deep Learning Engineer,MI,Switzerland,L,Egypt,50,Master,3,Telecommunications,6.0
Robotics Engineer,MI,United States,L,United States,0,PhD,2,Energy,6.5
AI Product Manager,SE,China,L,China,0,Master,8,Finance,9.2
Deep Learning Engineer,EN,United States,L,United States,100,Master,0,Retail,8.8
AI Product Manager,SE,Austria,S,Austria,50,Master,8,Manufacturing,9.3
